100000 100000
0 25112 88345
0 13904 82078
1 46476 43008
2 70539 58571
1 39799 85520
2 10108 45767
0 68123 62247
1 60621 22242
0 54070 59314
2 80093 38402
2 93666 10556
0 98302 62706
0 46115 67032
1 77793 73030
1 50775 61324
1 89944 71991
1 62234 32388
0 30706 27761
0 66282 64740
2 63357 72514
1 47838 84183
1 65045 97650
2 89600 7421
2 59629 79933
0 72011 93902
0 31025 78193
2 75378 81458
0 94016 68354
0 30632 62123
0 29037 69262
2 2454 35642
2 53941 29580
2 46149 93040
0 28545 70392
0 7643 23555
1 45664 57339
0 47445 97210
2 83231 44693
2 82759 14554
2 49653 39149
1 53602 74045
1 478 31987
0 77106 48438
2 27633 8752
0 50569 31184
2 82712 14590
2 20201 49700
1 23481 71300
2 92921 54222
0 47 63705
1 40162 79152
1 95381 52843
0 50129 29121
0 47446 39301
0 34816 54352
2 74751 50295
1 97687 4199
1 73596 77220
1 88240 49717
0 69028 25678
2 17050 45667
1 11766 22867
1 64269 36840
0 66373 30954
1 97649 53076
2 46415 32005
2 84022 84245
2 23428 55064
0 56429 10138
0 39671 15910
0 20397 78589
2 13307 44266
1 98944 12660
1 33719 3258
1 41378 48685
2 7262 58068
0 88521 86792
0 11408 35396
1 82674 54527
2 95045 61728
1 71077 10714
1 34446 86634
2 8825 63077
2 66534 70143
1 82239 50874
1 69821 51932
1 11037 25345
2 78303 14422
0 7178 40588
1 55757 58857
2 73669 3707
1 79419 86733
1 36797 2818
2 14301 29343
2 25398 42275
1 10544 80026
2 61288 47888
0 14593 44320
1 58968 15870
2 67465 23718
1 94044 87788
1 66525 26914
1 61123 20004
1 77156 6142
0 84679 82838
2 88322 405
1 46076 32513
2 16226 55627
2 74331 95868
1 46246 50192
1 9611 85155
2 29616 86379
0 20389 15738
2 22949 36235
2 24221 33235
1 85971 80411
1 88160 56234
1 35248 49064
1 22568 82582
1 46050 92914
1 52355 97559
0 45957 86691
0 45290 2342
2 76574 86103
0 43819 65780
1 58255 92234
1 83100 49346
2 36507 65947
0 1210 17165
2 55322 15932
2 88359 84719
0 31353 89719
1 56317 72230
0 67547 62104
0 9077 96806
2 58680 17519
2 24957 92432
2 96031 13314
0 49367 85018
0 54838 67892
1 44804 26428
1 42101 40685
2 25727 82139
0 97525 88136
2 49096 2460
2 53334 59017
2 65871 67072
1 61861 26797
1 66715 64179
0 93934 73975
1 14613 6689
0 1727 61312
2 83530 54470
0 1809 78768
2 34553 91883
1 91131 36392
2 96615 8698
1 75399 59155
2 78292 61400
2 97897 97881
0 54710 75279
0 63680 42999
1 13527 53339
0 25868 29267
0 91904 92472
1 10921 74278
0 97252 5612
0 20431 83138
2 74266 62800
2 61210 81020
0 13004 7743
0 62221 85274
1 19480 8166
2 82329 44219
2 87863 90774
1 36822 86145
0 5137 71410
1 17381 55600
2 39784 75621
1 47344 38424
0 98964 79539
0 74764 56831
0 75522 58881
1 2908 75545
2 10317 25710
1 79087 86603
0 75254 74994
1 24471 6911
0 72830 31378
0 75040 92166
2 1216 81959
2 72277 44567
2 78080 19318
1 34962 53836
0 51340 45468
0 40502 63189
2 4518 40357
2 28951 67047
1 92145 52281
1 27004 68445
0 3398 82303
1 59526 26899
0 37641 99305
2 5897 40800
0 19367 48831
0 22223 43956
1 52894 67907
2 66980 65374
1 84035 28902
1 89228 44874
0 86763 83517
0 99678 38795
2 91958 30122
2 27791 8835
0 71026 41079
2 95676 67497
2 89907 40655
1 74734 78279
0 68207 60792
1 65600 59628
2 232 57468
2 11508 90909
0 8113 84886
0 82116 84961
2 20575 99263
2 8414 36212
1 31342 52048
2 65749 53345
2 17416 6451
1 88911 46564
0 87330 24225
2 65696 49209
0 42262 24925
0 82753 57249
1 49706 41615
2 44264 27069
1 77033 18464
1 59925 95842
2 9972 3701
1 2187 84366
1 25676 47729
1 56414 34301
2 99658 28386
0 94227 46678
2 32961 15034
1 80915 83993
0 72684 71822
1 69021 544
0 11578 13271
1 57951 18570
0 11937 14658
2 30646 62053
0 54351 31890
2 47467 65291
1 54753 23739
2 70931 76056
1 66604 42571
1 93777 55187
0 3225 82702
0 52969 20210
1 26002 78032
2 76778 74861
2 95109 37974
2 77406 89604
2 67723 71916
0 33345 87189
2 6998 32749
0 97203 33451
1 50171 10113
2 20904 75470
0 49766 77791
1 60105 65851
1 59172 72643
2 81266 35377
1 51683 74609
1 56463 58504
1 5784 68077
1 23181 58945
0 6345 56041
1 46208 72120
1 61873 81984
0 95641 97464
1 3730 45430
2 77485 24643
2 99753 11771
1 523 75267
0 92989 95121
1 62863 80438
2 54177 39445
1 72260 58724
1 78812 20206
0 3710 14933
1 2670 33605
0 54983 38971
1 76954 1018
0 19452 90990
2 17820 83274
2 98245 31432
0 66827 33826
0 34314 30241
1 64123 74836
1 67185 8245
0 86367 74402
2 96483 72115
2 36569 30011
2 52199 17238
2 17674 26162
0 67446 16942
2 68907 60192
0 80302 85668
1 3831 5675
2 20862 22451
1 72804 25995
0 22525 63045
0 74211 16791
2 51032 63157
0 90846 99121
1 43218 87590
1 2052 69841
0 11797 34794
0 63781 83204
0 94191 65782
2 3458 71448
1 62076 82875
2 22917 59219
1 19870 45311
2 815 65661
1 30783 53384
2 76616 67511
1 74313 47040
2 8653 59361
2 93248 38991
1 94249 24104
2 62587 94808
1 9016 6983
1 37037 67830
0 15475 73819
1 9108 43312
0 60395 71210
2 64447 25721
2 70997 6874
1 53348 29087
0 19326 97087
1 5795 16474
2 3518 67650
1 11313 29945
2 65298 84598
2 55363 48340
0 18938 65617
1 56314 29985
0 37727 49319
0 63086 62278
0 61179 5145
0 52095 83393
0 83256 4083
2 72967 47423
1 28195 78530
0 23414 21182
1 88107 30549
2 5391 1409
2 97438 51410
1 11676 4178
0 5922 50554
2 25303 2072
1 90954 8058
0 38703 959
2 16233 28210
2 26016 99654
0 7621 85983
1 65735 36662
0 83948 29074
2 2652 90569
0 17868 7307
2 97232 28510
0 87953 10318
1 4958 5951
0 63251 15095
2 25444 65537
2 70394 18612
0 68271 46790
2 1390 28211
0 17927 81163
0 70934 67058
0 74968 79229
0 35130 24154
2 83176 37357
0 48674 19045
1 98789 47244
1 7792 89807
2 27865 70187
2 52624 31653
1 21777 1188
1 81019 61345
1 30520 89103
2 90131 82714
2 60446 2519
0 72485 85989
2 70154 49900
2 91979 38240
0 71160 43606
0 7031 56592
2 18370 65960
0 92695 14642
0 88515 86279
1 22361 43395
0 97711 52758
1 34544 69956
2 62991 88142
1 72025 32615
2 55365 14013
2 3728 7907
1 90966 6976
2 58539 26710
0 70780 5409
1 59157 51499
1 22181 48711
1 30121 24806
1 7514 23744
0 47801 94497
1 75728 29216
2 21450 80434
2 10364 74062
0 22792 10216
1 55070 10517
2 74094 50885
0 38809 83449
1 88496 43380
0 35560 63600
1 86963 10036
1 1419 74148
2 51887 83798
2 98559 10269
0 77376 55353
1 86844 28549
1 79012 10661
2 62589 84425
2 74022 32095
1 5966 35806
0 41045 55821
0 39095 71687
1 21930 48733
2 43398 87285
0 70489 29883
2 95422 22073
0 3139 26224
0 473 26273
1 38237 70958
0 31112 15458
2 21870 27412
0 38068 67503
1 21303 63317
0 64637 83160
2 77675 59603
1 28039 39867
0 54976 85278
1 4057 40647
0 40707 63441
1 4789 17064
1 98388 92698
2 81855 86920
2 2899 93622
0 13726 89555
0 83945 5902
0 50299 96050
2 61077 80327
1 25391 55756
2 14856 54904
1 92186 26939
0 37645 14870
2 85008 79116
0 74872 72565
0 39433 82935
0 52787 49777
1 7037 81759
0 58113 39788
1 1591 47319
0 74216 90799
0 27188 703
1 53052 62700
2 12662 28108
2 22445 73647
2 99358 34369
1 98972 50898
1 8645 6437
1 80696 92305
2 70922 18241
1 90709 71463
2 14822 65262
2 51798 4197
0 75160 85239
1 21287 73027
2 46285 64812
2 70254 99363
1 194 91149
1 26518 37758
2 33900 11857
2 91418 63714
0 4505 99485
1 32954 13920
0 42712 25427
1 99338 39050
1 1873 75334
2 89463 30895
1 3422 94851
0 92784 53570
2 28967 70373
1 30873 85971
2 50461 44719
2 57917 48355
0 39760 27138
2 95294 59119
1 29591 29708
1 90012 25203
1 44942 19959
0 39753 61275
2 42914 53236
2 7308 5922
0 68888 89397
1 96237 39830
0 13628 15818
2 70998 86561
0 32232 54634
0 21025 10125
0 22820 36225
0 73892 67225
2 74830 74298
0 8256 95921
0 3049 29075
2 94978 34323
0 87924 89177
1 33857 28568
1 3278 84383
2 38655 82013
0 41640 54942
0 85425 69471
0 96423 99412
1 38164 55544
1 83372 98198
2 56765 24133
1 94816 18807
0 62204 30495
1 72336 60120
2 84162 94682
2 50072 87585
1 26667 72861
1 11255 86083
0 10297 22267
2 18639 13379
0 82767 85716
2 78842 98579
0 91914 33155
2 92297 26830
2 4978 46969
2 79821 41238
2 18791 95350
2 58249 53255
1 21580 24061
1 2413 27463
0 64746 77279
2 2842 37961
0 98888 56394
2 61431 57898
0 75071 54158
1 4964 21104
2 61183 92801
1 43185 36850
2 540 8757
2 22879 63230
1 99918 29878
2 33238 12698
1 35194 2630
2 93603 94956
1 87748 45831
2 78445 83111
0 19999 28903
1 60285 34034
1 52713 73930
2 31111 31520
1 61443 5477
2 38913 40667
0 46764 77309
1 26077 95620
0 70942 18563
0 21597 59874
0 14712 70978
2 55166 58184
0 33720 79141
0 34253 33927
1 40270 16262
1 39537 13673
1 82522 47317
2 87446 93865
0 13906 73502
0 53391 71129
0 28417 11215
2 39552 33976
2 41131 1096
1 69321 92675
2 40160 37067
0 25219 59235
2 32682 9822
2 32157 39670
1 27964 97059
2 96167 70468
1 10113 80299
0 35597 47900
2 59592 16638
2 26277 93442
2 5390 31804
1 33591 79021
1 20010 68104
0 93804 27241
1 21828 7739
1 46749 60550
2 29257 55619
2 12087 45378
1 20722 30518
2 38556 88321
2 89542 18788
2 69352 279
1 51749 8681
2 66002 48413
1 44721 60035
2 10220 53141
0 9448 30011
1 10271 19442
2 71455 6492
0 88952 18824
0 5599 5562
2 78701 4431
2 53055 78397
1 42233 82470
2 96131 2579
0 49457 20516
0 4736 89661
2 82698 37265
1 70612 76344
1 41510 79784
0 44167 48238
0 11130 26582
0 57388 90248
2 95571 738
2 16956 24897
2 67904 39581
1 75204 41047
1 67932 99058
0 40496 75264
1 92080 97760
1 80483 19312
0 87793 80463
0 13127 86829
0 96925 63013
2 95773 8499
0 89151 64760
1 55587 23580
2 16355 37604
1 33490 22886
2 57605 28225
1 34343 11767
2 27972 60962
2 4611 47349
1 18315 73728
0 43895 73573
2 43964 21523
2 56009 158
2 55378 2407
0 25320 87303
1 38234 64068
0 60900 27501
0 67846 7115
1 45367 82809
1 19875 98734
0 93022 29506
1 75465 78683
0 98751 35313
2 95469 22233
2 82114 40547
0 17557 39311
2 5294 21983
0 36581 57237
1 28249 12776
1 7515 42454
0 26840 4008
1 57155 8800
1 4490 98118
2 47787 41345
0 43499 20059
0 73878 39035
2 41063 24720
2 38969 35942
0 13846 55192
1 69075 16465
0 65895 2766
0 92701 57128
1 98602 75495
0 8758 31617
0 76008 9157
1 16802 48778
2 11644 1886
2 66235 22082
1 30687 18372
0 49658 40855
2 38722 7940
1 98438 58869
1 80836 11452
2 81059 34909
2 58063 70529
2 48373 3064
0 48050 97690
0 53852 53655
2 2020 11230
2 66611 49690
0 16514 89036
1 80072 87082
0 14888 5199
1 96530 85264
0 22677 81354
2 19853 69981
2 51711 1496
1 83721 5628
0 34416 64169
1 82818 7722
0 84601 64854
0 29415 51951
0 87744 20203
1 81204 14055
1 94505 18574
0 48902 47829
0 83253 27028
2 86573 64898
1 72193 80619
2 80977 77994
0 15732 86100
2 90541 1195
0 72007 14705
2 19653 62246
2 92994 92857
1 5783 91606
0 80355 16514
1 66737 50986
0 79433 92938
1 11265 5789
1 34095 14367
0 15776 29212
2 76860 10074
1 80403 26010
0 74558 31017
0 54371 8181
2 71337 90814
0 35143 30649
0 32815 69683
2 81784 36120
0 35724 36147
0 62748 89572
2 57472 9984
0 53511 68985
2 52762 38974
2 59947 71930
0 71950 57009
2 60132 40750
2 85519 14782
2 28293 49813
2 53372 20221
1 86316 15396
1 5531 91443
1 2484 89907
1 49161 71435
0 28231 24265
2 40675 6990
0 31167 93887
1 83073 37935
2 60763 57522
0 56186 68441
1 82937 17788
2 87642 65310
1 25993 46122
0 13772 523
0 7516 29118
2 85827 36036
1 63798 89345
2 72414 51650
0 90821 55411
1 17174 95886
1 84435 51213
1 19477 53490
1 17127 83223
0 10311 98111
1 80148 23727
1 71269 52105
0 11853 13787
0 95890 34204
1 97808 7980
0 83359 41663
0 30239 49929
0 14911 84239
2 6345 80527
2 1531 17329
1 47999 25403
0 7172 1493
1 54936 89193
1 48983 81142
2 70883 54122
1 67021 21502
2 27293 94729
0 95516 11781
1 90305 93391
0 69460 80967
1 98111 49063
2 56068 96655
1 9456 98246
2 98916 48378
1 73266 43761
1 72467 55421
1 30931 91067
2 99372 34491
0 88524 19917
0 83894 65644
2 35740 59370
2 38103 96783
2 84389 84257
1 82805 71703
2 53781 22781
0 55794 57472
2 23484 33518
0 28069 62048
1 47107 58857
1 28916 97815
2 61689 11148
1 12121 81204
0 27224 46528
1 66189 78606
1 81862 96443
1 95114 73715
0 94594 51311
2 94768 65254
0 14566 11040
0 36116 25535
2 86348 44256
2 34877 63883
0 67267 77704
0 36113 84744
1 64452 42488
1 9644 52074
2 7578 31407
1 20284 9173
2 83337 11133
2 13159 389
1 73180 26132
0 4627 23301
1 75429 9788
1 59250 99473
2 55203 15609
0 59246 39503
0 30426 80716
0 97653 1384
0 45533 2230
2 96311 23199
1 5186 22012
1 44411 42127
0 66581 72080
2 82215 38594
0 17512 21168
0 34342 32543
0 38920 52042
2 37321 4948
0 5664 17088
2 32624 53804
2 73426 1319
2 42730 11728
0 15293 59633
0 19366 53045
1 43550 66742
0 89747 42584
0 86186 53712
1 23648 580
0 97394 11854
2 87266 81451
0 55546 36137
0 86703 74141
0 88360 64082
2 37432 46622
1 31991 75073
2 96721 95215
2 70330 92802
0 53025 8740
2 21699 59063
0 58716 86197
2 69601 73007
1 26371 48583
2 80338 63051
2 27925 17711
1 22838 47201
1 24133 7056
2 28117 38908
1 61858 52319
0 54732 52587
1 14789 2356
2 306 45863
1 71452 44306
2 9098 39624
1 7629 82926
2 9006 99092
2 12460 41750
1 36847 20160
2 36311 14210
0 22646 50890
2 40509 5506
1 20290 78041
1 85826 87318
2 28496 44033
2 69166 46719
1 50474 17919
1 38973 71988
0 20115 45806
0 54657 98764
0 18537 18617
2 22733 87847
0 10879 18826
2 89046 1299
0 19339 22266
2 5989 17871
1 34 98046
2 1640 25184
1 4948 69910
0 501 87822
0 3395 73651
2 33158 74617
0 13746 70500
2 45825 42992
2 68231 22452
1 86862 16462
0 18112 77779
2 41521 36662
2 94393 51135
1 55414 54335
1 39694 11481
0 48614 75873
2 69114 6870
2 32206 11515
2 3747 89510
1 88892 35524
0 59936 27634
1 46287 18339
1 55446 24389
2 68038 42813
0 12903 24086
2 77101 26254
1 80417 76992
2 15364 72778
0 36078 26193
1 16698 91430
1 85040 39002
2 42115 68256
0 38104 78861
2 66715 26343
0 68312 56122
2 69335 52352
1 39482 21670
2 91954 69892
1 31115 46221
2 35497 57393
2 1669 91541
2 51665 48535
1 51297 29074
2 62608 2821
2 31250 73077
2 51611 78233
2 72833 74089
0 9927 54050
2 70339 49454
1 65556 6364
1 34530 28367
0 58281 5852
0 24453 93268
2 67864 46996
0 83155 24491
1 94046 43918
2 75390 86005
1 69462 80473
1 68822 8147
2 3784 14194
1 78506 14275
2 60710 78633
2 77424 5928
1 13576 11492
1 28792 86030
0 17612 68088
1 48529 33588
2 64307 7870
2 51768 19356
2 1740 11106
1 70134 81039
2 88736 95238
1 20389 25272
2 12116 8222
0 42129 89242
2 18963 45721
0 87766 47155
2 16091 32294
1 2790 10119
2 11840 61668
2 63959 80406
2 90838 98722
0 46844 46517
0 39801 10783
2 83681 32407
2 9871 95741
1 90545 39363
0 77560 50742
0 12419 67366
0 88949 54353
2 91523 26031
1 17359 87145
0 56791 54697
2 77877 57527
1 30484 48339
0 84605 41424
0 25266 31233
1 25833 65666
1 53126 58606
0 5058 90777
0 93807 39305
1 2833 61551
2 64728 5067
0 76305 53999
2 98600 71204
1 470 92756
0 42117 94798
2 35820 82835
1 21850 48019
1 95807 44889
1 15221 36288
1 90178 87658
1 32969 15794
0 72039 43909
2 56911 30362
0 95207 77141
0 8440 14992
1 37951 15716
2 83233 23279
1 27144 70219
0 24039 33305
0 79659 33376
2 99720 81156
2 79227 4689
2 83976 21967
2 42314 5116
1 22104 38396
2 12158 76574
1 54068 65397
1 62654 89294
1 75241 52632
1 42934 65844
1 15562 51754
2 41511 21976
2 67014 91270
2 46424 70657
0 25804 17991
2 11118 46259
1 98357 52733
0 30453 3188
2 17872 65446
2 23250 56696
2 97912 89875
1 31312 21764
0 73712 27102
0 3107 1155
2 41017 92754
1 25112 14595
2 11072 70078
2 890 93295
1 19387 45773
0 48920 69485
1 28544 86275
0 37812 19780
2 87333 71766
2 11611 30302
0 10153 92149
2 26298 19207
1 3314 91136
1 12915 21141
0 50016 79072
1 51969 17712
2 53880 73665
0 51127 61838
1 1506 24321
2 92871 87049
2 29795 69533
1 30382 74200
1 10982 10231
0 78484 47800
2 53227 28577
0 56804 27767
2 12154 48881
1 74596 14359
2 79026 77607
2 98863 6293
0 32106 89991
0 1490 14297
0 14382 67531
0 67220 18745
0 27652 7873
2 17274 45772
2 76465 8658
2 51576 55524
1 90642 17498
2 89434 58579
2 13831 53099
0 23927 55781
0 89369 23036
2 50850 63494
2 39218 17094
0 19088 58081
2 54847 34418
1 64641 11117
2 10487 1341
1 22646 3954
0 69007 69388
0 88002 93245
0 66989 93982
2 50402 4989
2 18603 29185
0 77179 23846
1 96623 25816
1 59776 97898
1 46754 92010
0 51258 74692
0 65687 8974
0 97802 6228
0 49049 7925
2 92660 37449
0 1338 49810
1 16132 48589
1 26756 78943
1 19813 21953
0 53352 16350
1 64674 96007
2 48032 39795
1 94778 958
2 32438 63899
1 68049 71596
0 30404 95139
2 22287 3477
0 19102 24245
1 93516 65658
0 47699 66072
2 69181 39669
1 7978 25411
0 62459 93260
2 26092 66257
0 75630 13630
0 55846 74887
1 40414 71650
1 21186 24084
0 77446 47385
1 76748 11953
1 74049 42837
1 58784 23085
1 89257 70659
0 31335 83982
2 64264 58179
0 42684 91327
1 42877 75094
1 42541 33886
1 38909 27336
1 40456 92805
0 28427 41282
0 82214 41137
1 21265 60350
0 15760 85995
0 79403 13763
1 14389 56586
0 14287 60539
1 53826 45576
2 20524 13983
0 9145 60356
0 88209 95768
2 72089 16233
0 69073 30238
2 33091 51614
1 11399 8916
2 68485 97551
1 63861 42555
1 60678 66235
0 22185 42308
0 73783 62667
0 81392 85890
0 73326 19546
0 58589 22418
0 32809 8545
2 3870 94882
1 69702 84120
2 73442 93900
1 53640 62488
0 92774 53959
1 30424 18761
2 25987 6786
1 18374 94104
2 20869 35969
1 22542 68350
1 55186 37621
1 72720 6660
0 43667 9739
0 34353 25644
2 98818 55032
0 24779 95581
2 30302 96984
2 11838 6314
2 70821 72550
2 16820 14459
0 14553 23150
2 73667 8636
1 91137 30905
1 34916 10388
2 12428 40899
1 24594 87760
2 55364 22202
1 73537 82228
0 65738 16563
0 95075 6787
2 1013 81617
2 81223 80741
2 66656 25448
2 94759 35932
1 4039 9933
1 18726 92896
2 50650 72062
0 84126 98218
1 47639 50975
0 54024 42445
0 99488 13890
2 75949 27888
0 5124 55797
1 47375 37422
2 22909 4749
2 51732 7639
0 9203 23755
0 63971 36032
2 40212 50300
2 67502 40852
1 81158 79289
1 47186 88187
1 37708 12385
0 18898 78936
1 16578 47897
0 16498 86734
1 71526 28669
1 34012 56477
2 14501 25846
2 58051 72723
2 34070 15487
0 84516 48687
0 96158 36453
0 14331 57679
0 86185 25090
1 77089 2800
0 98179 4418
0 72545 43721
1 57702 96669
1 47137 94867
1 39907 43284
1 93705 81880
2 61154 30458
1 78868 92567
0 6966 38981
0 4747 66908
0 34667 74752
0 50962 51639
0 60405 22345
2 87972 87135
2 26359 31770
2 25426 90598
2 17460 74309
0 68029 929
